fecha,casos_confirmados,ingresos_hospitalarios,ingresos_uci,fallecimientos,casos_personal_sanitario,altas,confirmados_dia,total_personas,fallecimientos_dia,altas_dia,ingresos_hospitalarios_dia,ingresos_uci_dia,casos_personal_sanitario_dia,diferencia_confirmados_activos,diferencia_confirmados_dia,diferencia_fallecimientos_dia,diferencia_altas_dia,diferencia_ingresos_hospitalarios_dia,diferencia_ingresos_uci_dia,diferencia_casos_personal_sanitario_dia,incidencias,confirmados_activos,porcentaje_ingresos_confirmados,porcentaje_uci_confirmados,porcentaje_fallecimiento_confirmados,porcentaje_sanitarios_confirmados,porcentaje_altas_confirmados,porcentaje_personas_confirmadas
31/03/2020,244,129,13,14,19,23,29,220461,3,4,9,0,3,22,15,3,-1,-8,0,3,,207,52.87,5.33,5.74,7.79,9.43,0.11
01/04/2020,317,136,14,16,50,28,73,220461,2,5,7,1,31,66,44,-1,1,-2,1,28,,273,42.9,4.42,5.05,15.77,8.83,0.14
02/04/2020,349,146,20,18,35,35,32,220461,2,7,10,6,-15,23,-41,0,2,3,5,-46,,296,41.83,5.73,5.16,10.03,10.03,0.16
03/04/2020,368,175,21,24,38,43,19,220461,6,8,29,1,3,5,-13,4,1,19,-5,18,,301,47.55,5.71,6.52,10.33,11.68,0.17
04/04/2020,393,175,22,30,40,44,25,220461,6,1,0,1,2,18,6,0,-7,-29,0,-1,,319,44.53,5.6,7.63,10.18,11.2,0.18
05/04/2020,396,176,26,33,42,53,3,220461,3,9,1,4,2,-9,-22,-3,8,1,3,0,,310,44.44,6.57,8.33,10.61,13.38,0.18
06/04/2020,417,184,26,37,43,57,21,220461,4,4,8,0,1,13,18,1,-5,7,-4,-1,,323,44.12,6.24,8.87,10.31,13.67,0.19
07/04/2020,419,185,27,42,43,62,2,220461,5,5,1,1,0,-8,-19,1,1,-7,1,-1,,315,44.15,6.44,10.02,10.26,14.8,0.19
08/04/2020,428,190,28,51,46,68,9,220461,9,6,5,1,3,-6,7,4,1,4,0,3,,309,44.39,6.54,11.92,10.75,15.89,0.19
09/04/2020,444,193,28,58,52,74,16,220461,7,6,3,0,6,3,7,-2,0,-2,-1,3,,312,43.47,6.31,13.06,11.71,16.67,0.2
10/04/2020,478,201,28,64,58,83,34,220461,6,9,8,0,6,19,18,-1,3,5,0,0,,331,42.05,5.86,13.39,12.13,17.36,0.22
11/04/2020,491,203,29,66,63,97,13,220461,2,14,2,1,5,-3,-21,-4,5,-6,1,-1,,328,41.34,5.91,13.44,12.83,19.76,0.22
12/04/2020,502,205,29,67,66,103,11,220461,1,6,2,0,3,4,-2,-1,-8,0,-1,-2,,332,40.84,5.78,13.35,13.15,20.52,0.23
13/04/2020,505,208,30,68,66,106,3,220461,1,3,3,1,0,-1,-8,0,-3,1,1,-3,,331,41.19,5.94,13.47,13.07,20.99,0.23
14/04/2020,508,213,32,69,66,113,3,220461,1,7,5,2,0,-5,0,0,4,2,1,0,,326,41.93,6.3,13.58,12.99,22.24,0.23
15/04/2020,529,217,33,76,69,116,21,220461,7,3,4,1,3,11,18,6,-4,-1,-1,3,,337,41.02,6.24,14.37,13.04,21.93,0.24
16/04/2020,538,223,34,76,69,120,9,220461,0,4,6,1,0,5,-12,-7,1,2,0,-3,,342,41.45,6.32,14.13,12.83,22.3,0.24
17/04/2020,544,226,35,76,69,125,6,220461,0,5,3,1,0,1,-3,0,1,-3,0,0,,343,41.54,6.43,13.97,12.68,22.98,0.25
18/04/2020,577,236,36,78,69,128,33,220461,2,3,10,1,0,28,27,2,-2,7,0,0,"El descuadre a nivel provincial se debe a que hoy se han añadido los casos confirmados por test rápidos que se contabilizaron en Aragón el día 16. Fuente:  <a href=""http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/area.1050/id.258841"" target=""_blank"">Aragón Hoy</a>.",371,40.9,6.24,13.52,11.96,22.18,0.26
