fecha,casos_confirmados,ingresos_hospitalarios,ingresos_uci,fallecimientos,casos_personal_sanitario,altas,confirmados_dia,total_personas,fallecimientos_dia,altas_dia,ingresos_hospitalarios_dia,ingresos_uci_dia,casos_personal_sanitario_dia,diferencia_confirmados_activos,diferencia_confirmados_dia,diferencia_fallecimientos_dia,diferencia_altas_dia,diferencia_ingresos_hospitalarios_dia,diferencia_ingresos_uci_dia,diferencia_casos_personal_sanitario_dia,incidencias,confirmados_activos,porcentaje_ingresos_confirmados,porcentaje_uci_confirmados,porcentaje_fallecimiento_confirmados,porcentaje_sanitarios_confirmados,porcentaje_altas_confirmados,porcentaje_personas_confirmadas
07/04/2020,35,11,1,1,0,7,5,0,0,0,1,0,0,5,31,1,-1,6,1,0,,27,31.43,2.86,2.86,0.0,20.0,Infinity
08/04/2020,36,11,1,1,0,8,1,0,0,1,0,0,0,0,-4,0,1,-1,0,0,,27,30.56,2.78,2.78,0.0,22.22,Infinity
09/04/2020,37,11,1,1,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,27,29.73,2.7,2.7,0.0,24.32,Infinity
10/04/2020,41,12,1,1,0,10,4,0,0,1,1,0,0,3,3,0,0,1,0,0,,30,29.27,2.44,2.44,0.0,24.39,Infinity
11/04/2020,43,12,1,1,0,10,2,0,0,0,0,0,0,2,-2,0,-1,-1,0,0,,32,27.91,2.33,2.33,0.0,23.26,Infinity
12/04/2020,47,12,1,1,0,10,4,0,0,0,0,0,0,4,2,0,0,0,0,0,,36,25.53,2.13,2.13,0.0,21.28,Infinity
13/04/2020,49,14,1,1,0,10,2,0,0,0,2,0,0,2,-2,0,0,2,0,0,,38,28.57,2.04,2.04,0.0,20.41,Infinity
14/04/2020,49,14,1,1,0,10,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,,38,28.57,2.04,2.04,0.0,20.41,Infinity
15/04/2020,52,15,1,1,0,10,3,0,0,0,1,0,0,3,3,0,0,1,0,0,,41,28.85,1.92,1.92,0.0,19.23,Infinity
16/04/2020,54,12,1,1,0,11,2,0,0,1,-3,0,0,1,-1,0,1,-4,0,0,,42,22.22,1.85,1.85,0.0,20.37,Infinity
17/04/2020,58,13,1,1,0,11,4,0,0,0,1,0,0,4,2,0,-1,4,0,0,,46,22.41,1.72,1.72,0.0,18.97,Infinity
18/04/2020,62,14,1,1,17,11,4,0,0,0,1,0,17,4,0,0,0,0,0,17,,50,22.58,1.61,1.61,27.42,17.74,Infinity
19/04/2020,63,15,1,1,0,11,1,0,0,0,1,0,-17,1,-3,0,0,0,0,-34,,51,23.81,1.59,1.59,0.0,17.46,Infinity
20/04/2020,66,16,1,1,0,11,3,0,0,0,1,0,0,3,2,0,0,0,0,17,,54,24.24,1.52,1.52,0.0,16.67,Infinity
21/04/2020,64,16,1,1,0,10,-2,0,0,-1,0,0,0,-1,-5,0,-1,-1,0,0,,53,25.0,1.56,1.56,0.0,15.63,Infinity
22/04/2020,68,16,1,1,0,9,4,0,0,-1,0,0,0,5,6,0,0,0,0,0,,58,23.53,1.47,1.47,0.0,13.24,Infinity
23/04/2020,66,17,1,1,0,19,-2,0,0,10,1,0,0,-12,-6,0,11,1,0,0,,46,25.76,1.52,1.52,0.0,28.79,Infinity
24/04/2020,69,17,1,1,0,19,3,0,0,0,0,0,0,3,5,0,-10,-1,0,0,,49,24.64,1.45,1.45,0.0,27.54,Infinity
25/04/2020,72,17,1,1,0,19,3,0,0,0,0,0,0,3,0,0,0,0,0,0,,52,23.61,1.39,1.39,0.0,26.39,Infinity
26/04/2020,75,17,1,1,0,20,3,0,0,1,0,0,0,2,0,0,1,0,0,0,,54,22.67,1.33,1.33,0.0,26.67,Infinity
27/04/2020,77,17,1,1,0,21,2,0,0,1,0,0,0,1,-1,0,0,0,0,0,,55,22.08,1.3,1.3,0.0,27.27,Infinity
28/04/2020,76,17,1,1,0,22,-1,0,0,1,0,0,0,-2,-3,0,0,0,0,0,,53,22.37,1.32,1.32,0.0,28.95,Infinity
29/04/2020,76,17,1,1,0,22,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,,53,22.37,1.32,1.32,0.0,28.95,Infinity
30/04/2020,81,17,1,1,0,25,5,0,0,3,0,0,0,2,5,0,3,0,0,0,,55,20.99,1.23,1.23,0.0,30.86,Infinity
01/05/2020,82,17,1,1,0,26,1,0,0,1,0,0,0,0,-4,0,-2,0,0,0,,55,20.73,1.22,1.22,0.0,31.71,Infinity
02/05/2020,86,17,1,1,0,27,4,0,0,1,0,0,0,3,3,0,0,0,0,0,,58,19.77,1.16,1.16,0.0,31.4,Infinity
03/05/2020,87,17,1,1,0,27,1,0,0,0,0,0,0,1,-3,0,-1,0,0,0,,59,19.54,1.15,1.15,0.0,31.03,Infinity
04/05/2020,88,16,1,1,0,28,1,0,0,1,-1,0,0,0,0,0,1,-1,0,0,,59,18.18,1.14,1.14,0.0,31.82,Infinity
05/05/2020,88,16,1,1,0,29,0,0,0,1,0,0,0,-1,-1,0,0,1,0,0,,58,18.18,1.14,1.14,0.0,32.95,Infinity
06/05/2020,90,16,1,1,0,33,2,0,0,4,0,0,0,-2,2,0,3,0,0,0,,56,17.78,1.11,1.11,0.0,36.67,Infinity
07/05/2020,91,16,1,1,0,36,1,0,0,3,0,0,0,-2,-1,0,-1,0,0,0,,54,17.58,1.1,1.1,0.0,39.56,Infinity
08/05/2020,95,17,1,1,0,36,4,0,0,0,1,0,0,4,3,0,-3,1,0,0,,58,17.89,1.05,1.05,0.0,37.89,Infinity
09/05/2020,96,17,1,1,0,36,1,0,0,0,0,0,0,1,-3,0,0,-1,0,0,,59,17.71,1.04,1.04,0.0,37.5,Infinity
10/05/2020,98,17,1,1,0,39,2,0,0,3,0,0,0,-1,1,0,3,0,0,0,,58,17.35,1.02,1.02,0.0,39.8,Infinity
11/05/2020,98,17,1,1,0,40,0,0,0,1,0,0,0,-1,-2,0,-2,0,0,0,,57,17.35,1.02,1.02,0.0,40.82,Infinity
12/05/2020,107,17,1,1,0,43,9,0,0,3,0,0,0,6,9,0,2,0,0,0,,63,15.89,0.93,0.93,0.0,40.19,Infinity
13/05/2020,107,17,1,1,0,46,0,0,0,3,0,0,0,-3,-9,0,0,0,0,0,,60,15.89,0.93,0.93,0.0,42.99,Infinity
14/05/2020,114,17,1,1,0,51,7,0,0,5,0,0,0,2,7,0,2,0,0,0,,62,14.91,0.88,0.88,0.0,44.74,Infinity
15/05/2020,109,17,1,1,0,52,-5,0,0,1,0,0,0,-6,-12,0,-4,0,0,0,,56,15.6,0.92,0.92,0.0,47.71,Infinity
16/05/2020,111,17,1,1,0,54,2,0,0,2,0,0,0,0,7,0,1,0,0,0,,56,15.32,0.9,0.9,0.0,48.65,Infinity
17/05/2020,111,17,1,1,0,57,0,0,0,3,0,0,0,-3,-2,0,1,0,0,0,,53,15.32,0.9,0.9,0.0,51.35,Infinity
18/05/2020,111,17,1,1,0,61,0,0,0,4,0,0,0,-4,0,0,1,0,0,0,,49,15.32,0.9,0.9,0.0,54.95,Infinity
19/05/2020,69,17,1,2,0,48,-42,0,1,-13,0,0,0,-30,-42,1,-17,0,0,0,,19,24.64,1.45,2.9,0.0,69.57,Infinity
20/05/2020,70,17,0,2,0,52,1,0,0,4,0,-1,0,-3,43,-1,17,0,-1,0,,16,24.29,0.0,2.86,0.0,74.29,Infinity
21/05/2020,69,13,1,2,0,52,-1,0,0,0,-4,1,0,-1,-2,0,-4,-4,2,0,,15,18.84,1.45,2.9,0.0,75.36,Infinity
22/05/2020,69,13,1,2,0,52,0,0,0,0,0,0,0,0,1,0,0,4,-1,0,,15,18.84,1.45,2.9,0.0,75.36,Infinity
23/05/2020,69,13,1,2,0,53,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,,14,18.84,1.45,2.9,0.0,76.81,Infinity
24/05/2020,70,13,1,2,0,54,1,0,0,1,0,0,0,0,1,0,0,0,0,0,,14,18.57,1.43,2.86,0.0,77.14,Infinity
25/05/2020,70,13,1,2,0,54,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,,14,18.57,1.43,2.86,0.0,77.14,Infinity
26/05/2020,70,13,1,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,18.57,1.43,2.86,0.0,77.14,Infinity
27/05/2020,70,13,1,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,18.57,1.43,2.86,0.0,77.14,Infinity
